invoice date,quantity
12/5/2010,16395
12/6/2010,21419
12/7/2010,24995
12/8/2010,22741
12/9/2010,18431
12/10/2010,20297
12/11/2010,0
12/12/2010,10565
12/13/2010,17623
12/14/2010,20098
12/15/2010,18229
12/16/2010,29632
12/17/2010,16069
12/18/2010,0
12/19/2010,3795
12/20/2010,14965
12/21/2010,15467
12/22/2010,3192
12/23/2010,5648
12/24/2010,0
12/25/2010,0
12/26/2010,0
12/27/2010,0
12/28/2010,0
12/29/2010,0
12/30/2010,0
12/31/2010,0
1/1/2011,0
1/2/2011,0
1/3/2011,0
1/4/2011,7939
1/5/2011,18435
1/6/2011,22461
1/7/2011,16475
1/8/2011,0
1/9/2011,8181
1/10/2011,9014
1/11/2011,29093
1/12/2011,10133
1/13/2011,10114
1/14/2011,23091
1/15/2011,0
1/16/2011,4181
1/17/2011,13345
1/18/2011,8664
1/19/2011,17108
1/20/2011,8720
1/21/2011,14938
1/22/2011,0
1/23/2011,5194
1/24/2011,11910
1/25/2011,14793
1/26/2011,10854
1/27/2011,10974
1/28/2011,17414
1/29/2011,0
1/30/2011,3367
1/31/2011,12568
2/1/2011,15340
2/2/2011,9355
2/3/2011,16935
2/4/2011,11367
2/5/2011,0
2/6/2011,2048
2/7/2011,8679
2/8/2011,10201
2/9/2011,7148
2/10/2011,11447
2/11/2011,9831
2/12/2011,0
2/13/2011,2715
2/14/2011,13469
2/15/2011,22533
2/16/2011,15990
2/17/2011,14544
2/18/2011,8165
2/19/2011,0
2/20/2011,5346
2/21/2011,21456
2/22/2011,21448
2/23/2011,13622
2/24/2011,11724
2/25/2011,9888
2/26/2011,0
2/27/2011,4858
2/28/2011,9880
3/1/2011,12120
3/2/2011,8495
3/3/2011,18414
3/4/2011,13332
3/5/2011,0
3/6/2011,4989
3/7/2011,13715
3/8/2011,6918
3/9/2011,4458
3/10/2011,15767
3/11/2011,10465
3/12/2011,0
3/13/2011,2741
3/14/2011,16717
3/15/2011,8918
3/16/2011,12583
3/17/2011,20589
3/18/2011,13756
3/19/2011,0
3/20/2011,14165
3/21/2011,10201
3/22/2011,14884
3/23/2011,11283
3/24/2011,18157
3/25/2011,13303
3/26/2011,0
3/27/2011,4408
3/28/2011,13125
3/29/2011,32413
3/30/2011,19719
3/31/2011,16237
4/1/2011,17374
4/2/2011,0
4/3/2011,5660
4/4/2011,13045
4/5/2011,14763
4/6/2011,8576
4/7/2011,10356
4/8/2011,9230
4/9/2011,0
4/10/2011,5526
4/11/2011,13499
4/12/2011,15121
4/13/2011,18100
4/14/2011,17401
4/15/2011,12726
4/16/2011,0
4/17/2011,8181
4/18/2011,22246
4/19/2011,14383
4/20/2011,17973
4/21/2011,18253
4/22/2011,0
4/23/2011,0
4/24/2011,0
4/25/2011,0
4/26/2011,15665
4/27/2011,17836
4/28/2011,13184
4/29/2011,0
4/30/2011,0
5/1/2011,3814
5/2/2011,0
5/3/2011,11867
5/4/2011,15765
5/5/2011,17331
5/6/2011,19632
5/7/2011,0
5/8/2011,10692
5/9/2011,12951
5/10/2011,17719
5/11/2011,16233
5/12/2011,36141
5/13/2011,15074
5/14/2011,0
5/15/2011,4898
5/16/2011,14484
5/17/2011,26886
5/18/2011,18785
5/19/2011,17783
5/20/2011,15154
5/21/2011,0
5/22/2011,12736
5/23/2011,16443
5/24/2011,15629
5/25/2011,11839
5/26/2011,16192
5/27/2011,16713
5/28/2011,0
5/29/2011,4084
5/30/2011,0
5/31/2011,11546
6/1/2011,10880
6/2/2011,13838
6/3/2011,7557
6/4/2011,0
6/5/2011,13470
6/6/2011,9167
6/7/2011,18462
6/8/2011,20784
6/9/2011,30275
6/10/2011,8134
6/11/2011,0
6/12/2011,9482
6/13/2011,9387
6/14/2011,-13752
6/15/2011,29978
6/16/2011,18178
6/17/2011,11678
6/18/2011,0
6/19/2011,15060
6/20/2011,15518
6/21/2011,7846
6/22/2011,15769
6/23/2011,14272
6/24/2011,9827
6/25/2011,0
6/26/2011,3495
6/27/2011,9835
6/28/2011,19642
6/29/2011,11544
6/30/2011,21297
7/1/2011,7358
7/2/2011,0
7/3/2011,3106
